16546	16546	100878	98751.5459762661	64	4319.1934989389
99117	99117	101290	-10160.5608640986	101	6773.74076031788
85544	85544	101450	-95764.6388540811	17	7764.49408943974
38875	38875	102448	5180.72000945953	20	9333.01394192177
48969	48969	102596	89712.3848971503	51	7714.20580940983
86204	86204	103755	-85025.8457404682	28	5990.05004576875
64840	64840	10397	17710.0683179265	56	2912.79968284667
51388	51388	104405	-58485.0917376974	85	5733.94039703251
89273	89273	104630	-43.7727663869882	44	428.832287913576
39290	39290	104892	15522.0958942185	46	1824.45252618028
25668	25668	104920	-78048.1952140332	17	6182.68284522122
54278	54278	105160	27516.6156364216	96	1726.32781948258
6075	6075	105693	69263.9469025954	65	424.658697342807
7308	7308	105913	17485.01933994	80	5933.75325670175
18295	18295	106011	-97560.0536901318	41	3579.30269100671
82794	82794	107514	27253.9751265449	104	5103.57243353667
50346	50346	107566	9180.91000485278	114	9184.63487130806
12776	12776	107957	80519.1764517311	88	4324.30443648449
73855	73855	108011	57168.3737249898	56	7045.31766909422
93069	93069	108067	85215.4840646384	120	6064.37201158347
74250	74250	108456	-5929.69036937211	66	6827.2527353965
84536	84536	108809	-43604.6395188219	83	9499.87878827373
72686	72686	109333	-69691.7601719926	71	7887.28696265597
71382	71382	109337	95590.9790450665	40	5044.19458887735
10541	10541	110177	9893.12013140559	14	2114.56587510862
1674	1674	110198	61520.1357572899	45	4372.11743950477
13377	13377	110333	1058.2290129076	60	1926.00408346672
6730	6730	110503	-66065.0795167615	68	303.238857399318
67008	67008	110631	81231.5148214025	35	8218.31372963186
56247	56247	111030	-3003.92094208111	92	3609.89315407811
71653	71653	111543	-72043.3041323178	15	1172.00878219307
72963	72963	11158	-49509.6262309279	82	5868.17735632331
31354	31354	111580	88101.3702545787	18	4758.34661194046
66899	66899	111907	55987.9745151792	93	4401.33594805437
7134	7134	111915	-34616.8909848746	10	4873.38635463891
52658	52658	112523	-85951.2641029205	111	5120.58890900602
18341	18341	112718	-22294.4358001903	114	2429.43575593151
63864	63864	112761	53764.7465959959	106	6070.83556911481
95234	95234	112931	61875.7034474405	100	7056.16298385717
59105	59105	113171	-31150.9067803393	65	9942.57492965207
35115	35115	113236	89770.9735621563	56	1150.61208463768
93893	93893	113271	-93985.1975040441	113	8111.03895605124
21458	21458	113709	-39416.3179860526	112	1082.87857635081
85223	85223	11396	40860.7488222703	102	9363.18174668736
77701	77701	113971	-97852.9578064815	108	1497.39143205685
80006	80006	114111	-56268.0375558641	44	3207.85108795755
6653	6653	114778	59639.0751933861	76	9976.94657611518
73888	73888	115803	29663.5873288212	117	1501.70043353071
14556	14556	116140	63621.3322000677	113	9471.48228332935
4830	4830	116264	15200.3943525256	52	9439.72700435656
50288	50288	117100	-24725.4416927348	58	1702.01813019906
35359	35359	117656	57482.057510634	19	5894.73566966818
27320	27320	118548	24154.796416012	14	9917.02281433019
59420	59420	119240	25028.0144275297	10	4592.44110709636
42459	42459	119736	14206.9992209817	42	9805.82673498701
53907	53907	121576	-54580.7832640506	22	7115.77740228538
46641	46641	12180	44217.3266523599	38	1252.35242333838
45624	45624	121885	12657.9885895634	80	6413.96282828132
73387	73387	122573	39244.4628939239	101	4768.86577972624
1436	1436	122601	-42983.3309459422	51	3880.03566985952
63014	63014	122678	-99021.0429760725	120	3211.51103633992
56774	56774	123110	26445.6392854665	54	469.721037600991
46629	46629	123243	36620.9082941622	89	2778.1991522192
91559	91559	123917	-76204.4102774022	84	8092.11984974897
