1-10	827.0	611.0
1-15	827.0	407.0
1-2	4631.0	561.0
1-23	1986.0	874.0
1-37	2548.0	672.0
1-41	282.0	401.0
1-42	1600.0	835.0
1-43	707.0	333.0
1-47	3308.0	894.0
1-48	2094.0	386.0
1-49	4432.0	387.0
1-57	1419.0	158.0
1-64	2040.0	604.0
1-73	1896.0	186.0
1-96	304.0	816.0
10-60	749.0	567.0
10-64	323.0	768.0
10-8	2905.0	792.0
100-67	4529.0	121.0
102-23	1641.0	803.0
102-52	1220.0	170.0
102-53	2295.0	202.0
102-81	2828.0	179.0
103-33	4988.0	938.0
104-61	4783.0	649.0
11-49	1411.0	682.0
113-27	3049.0	800.0
116-42	3786.0	249.0
12-25	1037.0	782.0
12-48	3736.0	682.0
12-50	3886.0	201.0
13-1	3591.0	731.0
13-49	4463.0	485.0
13-55	3522.0	288.0
14-37	4713.0	978.0
14-45	2105.0	174.0
14-55	737.0	249.0
15-62	1278.0	333.0
15-89	707.0	176.0
16-76	3461.0	151.0
16-89	3674.0	465.0
17-23	1214.0	882.0
17-26	3178.0	463.0
17-27	3584.0	616.0
17-33	2878.0	524.0
17-39	3607.0	271.0
17-53	129.0	807.0
18-26	1107.0	415.0
18-49	1899.0	734.0
18-50	1095.0	818.0
19-22	516.0	450.0
19-48	3817.0	855.0
19-72	928.0	536.0
20-1	3898.0	571.0
20-34	3447.0	417.0
20-67	3751.0	441.0
21-44	2831.0	277.0
22-48	1670.0	721.0
23-30	4275.0	82.0
23-33	2532.0	243.0
23-41	948.0	69.0
23-60	2666.0	875.0
23-80	3138.0	978.0
23-82	3285.0	450.0
23-9	1474.0	628.0
25-1	2955.0	472.0
25-11	1744.0	75.0
25-21	1191.0	570.0
25-57	2750.0	326.0
25-77	4928.0	413.0
26-15	3001.0	560.0
26-38	2828.0	622.0
26-43	1325.0	458.0
26-53	1536.0	472.0
26-61	2192.0	786.0
26-73	1729.0	50.0
27-24	4658.0	606.0
27-26	591.0	424.0
27-29	2034.0	430.0
27-59	1013.0	283.0
27-61	1611.0	910.0
27-73	3000.0	687.0
27-88	1790.0	586.0
28-1	290.0	784.0
28-32	2041.0	844.0
28-43	3668.0	302.0
28-50	3525.0	397.0
28-75	611.0	686.0
28-8	1294.0	592.0
28-81	2606.0	64.0
28-94	2026.0	478.0
29-1	4972.0	343.0
29-119	2390.0	139.0
29-53	251.0	61.0
29-64	312.0	888.0
29-66	1867.0	260.0
29-73	3454.0	113.0
29-76	1901.0	133.0
29-84	527.0	419.0
29-95	1490.0	525.0
3-21	1886.0	244.0
3-28	2396.0	394.0
3-46	4614.0	208.0
3-62	1202.0	279.0
30-39	696.0	776.0
30-41	1435.0	350.0
30-69	1859.0	939.0
30-85	3653.0	639.0
30-94	4477.0	548.0
31-33	3981.0	69.0
31-48	4864.0	924.0
31-50	922.0	258.0
31-80	226.0	311.0
31-99	1034.0	936.0
32-33	3554.0	271.0
32-43	136.0	706.0
32-44	3300.0	179.0
32-54	2017.0	496.0
32-59	4357.0	1000.0
32-60	4736.0	197.0
32-71	2644.0	539.0
32-79	4150.0	905.0
33-23	3072.0	444.0
33-37	970.0	862.0
33-43	2809.0	216.0
33-47	4446.0	361.0
33-51	591.0	61.0
33-62	3117.0	646.0
33-66	4237.0	162.0
33-67	2900.0	502.0
33-69	1596.0	116.0
33-96	479.0	900.0
34-19	403.0	424.0
34-49	3519.0	371.0
34-51	4611.0	480.0
34-53	3789.0	537.0
34-55	911.0	999.0
34-64	2521.0	514.0
